"order_id","customer_id","product","price","rating","quantity","order_date","phone_number","in_stock"
"ORD001","0101","Smartphone","999.99","Top","1","2024-01-15","+79161234567","Yes"
"ORD002","0102","Laptop","1499.99","Medium","1","2024-01-16","+79161234568","No"
"ORD003","0103","Tablet","499.99","Medium","2","2024-01-17","+79161234569","Yes"
"ORD004","0104","Smartphone","999.99","Top","1","2024-01-18","+79161234570","Yes"
"ORD005","0105","Headphones","199.99","Low","3","2024-01-19","+79161234571","Yes"
"ORD006","0106","Laptop","1499,99","Medium","1","2024-01-20","+79161234572","No"
"ORD007","0107","Tablet","499.99","Medium","2","2024-01-21","+79161234573","Yes"
"ORD008","0108","Smartwatch","299.99","Low","1","2024-01-22","+79161234574","Yes"
"ORD009","0109","Headphones","199.99","Low","2","2024-01-23","+79161234575","Yes"
"ORD010","0110","Smartphone","999.99","Top","1","2024-01-24","+79161234576","Yes"
